DATASET = ORTEC Early VeRoLog 2019 - easy
NAME = Instance 3 easy

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1070

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 1000
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 1000

MACHINES = 5
	1	6	740
	2	6	885
	3	6	345
	4	7	605
	5	5	670

LOCATIONS = 184
	1	310	369
	2	383	765
	3	382	328
	4	432	651
	5	258	324
	6	679	726
	7	501	669
	8	589	403
	9	713	483
	10	199	317
	11	382	274
	12	320	488
	13	266	470
	14	302	475
	15	428	174
	16	358	394
	17	283	474
	18	233	337
	19	344	454
	20	436	186
	21	460	369
	22	707	451
	23	648	769
	24	497	747
	25	342	422
	26	273	453
	27	465	456
	28	201	340
	29	199	363
	30	290	243
	31	528	353
	32	183	372
	33	345	367
	34	402	462
	35	182	340
	36	517	296
	37	181	383
	38	347	393
	39	498	59
	40	300	448
	41	599	352
	42	433	514
	43	439	721
	44	625	343
	45	551	224
	46	512	685
	47	626	763
	48	323	464
	49	520	246
	50	441	424
	51	347	454
	52	475	392
	53	540	357
	54	187	377
	55	582	578
	56	404	307
	57	428	196
	58	284	626
	59	320	489
	60	589	407
	61	262	374
	62	401	278
	63	251	469
	64	743	645
	65	135	306
	66	627	614
	67	308	456
	68	469	223
	69	90	207
	70	428	408
	71	229	339
	72	187	387
	73	463	458
	74	457	295
	75	321	449
	76	554	324
	77	204	387
	78	469	223
	79	99	291
	80	240	472
	81	231	407
	82	498	318
	83	233	378
	84	640	724
	85	317	471
	86	322	483
	87	747	653
	88	730	421
	89	244	298
	90	389	350
	91	311	702
	92	545	410
	93	195	302
	94	531	44
	95	440	507
	96	310	470
	97	180	377
	98	527	349
	99	414	220
	100	284	639
	101	311	459
	102	363	388
	103	234	428
	104	280	366
	105	552	40
	106	388	406
	107	515	356
	108	476	420
	109	696	352
	110	264	381
	111	302	472
	112	431	171
	113	740	634
	114	261	473
	115	545	341
	116	279	560
	117	687	508
	118	458	400
	119	518	308
	120	654	655
	121	727	425
	122	187	370
	123	628	587
	124	555	366
	125	434	364
	126	626	711
	127	582	662
	128	192	220
	129	710	757
	130	579	798
	131	525	359
