DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 15

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 1000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100000

MACHINES = 7
    1     5   833
    2     4   985
    3     3    54
    4     6   739
    5     5   761
    6     7   654
    7     3   401

LOCATIONS = 198
    1   518    36
    2   733   432
    3   434   364
    4   601   326
    5   387   300
    6   259   498
    7   584   391
    8   182   386
    9   459   411
   10   546   715
   11   253   508
   12   478   372
   13   288   505
   14   298   501
   15   435   413
   16   506   477
   17   188   210
   18   471   702
   19   343   614
   20   275   560
   21   230   342
   22   602   700
   23   299   385
   24   307   562
   25   681   758
   26   199   388
   27   515    54
   28   346   385
   29   264   314
   30   488   358
   31   681   703
   32   739   755
   33   295   310
   34   285   500
   35   490   517
   36   582   662
   37   653   617
   38   244   320
   39   594   385
   40   432   191
   41   361   382
   42   439   197
   43   350   369
   44   642   691
   45   317   469
   46   261   473
   47   262   310
   48   335   243
   49   577   367
   50   425   330
   51   604   537
   52   412   410
   53   563   688
   54   595   402
   55   740   430
   56   322   504
   57   488   430
   58   439   186
   59   661   720
   60   564   151
   61   501   149
   62   338   414
   63   278   371
   64   526   120
   65   254   333
   66   538   563
   67   652   583
   68   301   465
   69   238   242
   70   763   703
   71   456   195
   72   764   699
   73   242   354
   74   223   401
   75   507   720
   76   319   469
   77   476   739
   78   259   486
   79   561   113
   80   506   306
   81   261   372
   82    90   182
   83   439   428
   84   547   710
   85   532   503
   86   375   429
   87   759   688
   88   163   335
   89   292   509
   90   251   412
   91   271   361
   92   468   204
   93   293   510
   94   194   335
   95   355   395
   96   178   376
   97   489   142
   98   195   393
   99   409   356
  100   301   355
  101   371   176
  102   243   349
  103   295   502
  104   571   160
  105   558   393
  106   568   396
  107   382   400
  108   277   366
  109   348   397
  110   655   426
  111   665   495
  112   644   584
  113   266   512
  114   379   277
  115   244   320
  116   171   359
  117   180   378
  118   267   491
  119   232   412
  120   325   480
  121   240   350
  122   710   446
  123   242   382
  124   263   490
  125   746   426
  126   649   337
  127   490   517
  128   641   374
  129   223   325
  130   629   680
  131   337   601
  132   558   392
  133   382   568
  134   244   225
  135   342   239
  136   538   469
  137   741   698
  138   708   433
  139   311   276
  140   290   310
  141   380   383
  142   304   257
  143   231   340
  144   372   173
  145   329   460
  146   247   348
  147   308   459
  148   431   400
  149   425   190
  150   703   616
  151   306   355
  152   486   139
  153   572   502
  154   175   360
  155   442   429
  156   467   463
  157   566   151
  158   483   349
  159   263   484
  160   651   739
  161   439   197
  162   334   459
  163   195   313
  164   532   343
  165   554   136
  166   388   389
  167   357   744
  168   751   653
  169   507   306
  170   488    28
  171   593   568
  172   399   570
  173   211   362
  174   230   320
  175   307   469
  176   450   384
  177   260   299
  178   438   185
  179   357   558
  180   264   297
  181   705   612
  182   331   462
  183   264   452
  184   479   374
  185   120   172
  186   449   711
  187   433   173
  188   360   391
  189   187   370
  190   424   416
  191   528    59
  192   308   465
  193   544   753
  194   214   345
  195   520   645
  196   560   696
  197   332   512
  198   542   363

REQUESTS = 525
    1     2     1     5     4     3
    2   140     1     5     2     2
    3   105     1     2     4     3
    4   135     1     2     5     2
    5   167     1     3     5     2
    6    44     1     4     2     3
    7    17     1     6     4     2
    8   172     1     6     6     1
    9   142     1     2     6     1
   10    84     1     4     5     1
   11   165     1     4     5     1
   12    86     1     6     7     3
   13   166     1     5     7     3
   14    40     1     3     4     1
   15    44     2     5     2     3
   16   102     2     6     2     1
   17   127     2     3     2     2
   18   152     2     6     5     3
   19   172     2     4     1     3
   20   109     2     3     5     2
   21   161     2     7     5     2
   22   132     2     6     5     2
   23   134     2     6     4     1
   24    73     2     3     7     2
   25   165     2     4     7     2
   26   135     2     7     5     2
   27    95     2     4     4     3
   28    28     2     3     2     3
   29    14     2     6     6     1
   30   138     2     7     1     2
   31    91     2     5     1     2
   32   135     3     6     4     1
   33    18     3     5     1     3
   34     9     3     6     6     1
   35   110     3     6     4     3
   36    21     3     5     4     1
   37     6     3     4     3     2
   38    85     3     4     7     3
   39    95     3     8     4     2
   40   100     3     5     3     2
   41    11     3     4     2     1
   42   167     3     7     4     2
   43   148     3     8     7     1
   44    16     3     5     7     2
   45    50     4     6     4     2
   46   138     4     9     6     1
   47    64     4     7     1     2
   48   137     4     7     6     1
   49   105     4     7     5     2
   50   158     4     7     2     2
   51   117     4     8     7     1
   52    70     4     7     4     1
   53    13     4     5     1     2
   54   169     4     5     4     1
   55   175     4     5     7     1
   56    75     4     7     1     1
   57   103     5    10     3     2
   58    87     5     8     4     1
   59    62     5    10     3     3
   60    81     5     7     3     2
   61    13     5     7     7     1
   62   174     5    10     2     2
   63    95     5     9     4     2
   64   102     5     8     3     1
   65   144     5     8     4     1
   66    31     5    10     4     2
   67   176     6     8     2     3
   68    45     6    11     5     3
   69   133     6     9     3     1
   70    91     6     8     5     2
   71   158     6     8     4     1
   72    48     6     8     7     3
   73   135     6    10     3     1
   74   156     6     7     5     1
   75    87     7     9     6     2
   76    13     7    12     1     3
   77   127     7    12     6     1
   78    19     7    10     4     3
   79   155     7    12     6     1
   80   152     7    11     2     3
   81   169     8    12     7     2
   82    19     8    10     4     2
   83    89     8    10     2     1
   84    72     8    11     2     3
   85    54     8    10     2     3
   86     4     8    13     6     2
   87   148     8    11     7     3
   88    64     8    10     3     3
   89     6     8    11     4     2
   90    63     8    13     4     2
   91    19     8    12     3     3
   92    55     8    12     7     3
   93    45     9    14     4     2
   94    82     9    11     4     1
   95    68     9    10     7     2
   96    72     9    14     4     2
   97   139     9    11     1     1
   98   120     9    11     3     1
   99   130     9    13     1     3
  100   110     9    12     2     2
  101    54     9    14     7     3
  102    67     9    11     3     1
  103   131     9    12     2     3
  104    61     9    14     5     2
  105   107    10    13     6     2
  106    60    10    14     7     2
  107    94    10    11     2     2
  108   131    10    12     3     3
  109   122    10    13     4     1
  110   117    10    15     2     2
  111   104    10    13     2     1
  112    40    10    14     4     3
  113   159    10    13     7     2
  114    63    10    11     3     2
  115    62    10    15     1     1
  116   161    10    11     7     1
  117    92    10    12     2     2
  118   127    10    13     1     3
  119    97    10    15     7     2
  120    43    10    12     4     2
  121   107    10    13     2     1
  122   116    10    12     6     2
  123     4    10    15     1     1
  124    40    11    16     5     2
  125    79    11    12     7     3
  126    91    11    13     2     3
  127   107    11    15     3     2
  128    69    11    14     6     2
  129   138    11    15     1     2
  130   139    11    12     1     2
  131   137    11    12     6     1
  132    47    12    15     3     1
  133   173    12    16     3     2
  134   108    12    16     7     2
  135    78    12    15     1     3
  136    23    12    15     1     3
  137    41    12    13     3     1
  138   144    12    17     3     2
  139    20    12    15     4     2
  140   112    13    16     4     1
  141    79    13    16     1     3
  142     2    13    18     5     3
  143    68    13    16     2     2
  144    95    13    14     3     3
  145    54    13    18     1     3
  146    22    13    18     3     3
  147   157    13    14     2     3
  148   166    14    15     7     3
  149    50    14    16     5     2
  150   151    14    17     7     3
  151   162    14    19     5     2
  152   111    14    15     6     2
  153     6    15    16     2     3
  154   172    15    20     1     2
  155   137    15    16     5     2
  156    95    15    17     4     1
  157    77    15    18     3     3
  158   161    15    16     2     3
  159    73    15    17     3     3
  160   175    15    19     6     1
  161   125    15    18     4     1
  162    20    15    20     7     3
  163    18    15    16     7     3
  164    54    16    20     1     3
  165   152    16    20     3     1
  166   172    16    21     6     1
  167    78    16    19     5     1
  168   153    16    21     6     2
  169   164    16    17     6     2
  170   141    16    17     5     3
  171   135    16    17     3     1
  172   153    16    21     5     1
  173   161    16    20     4     1
  174    44    16    20     6     1
  175    86    17    21     3     3
  176    53    17    18     7     1
  177    12    17    19     2     3
  178    45    17    20     6     2
  179     9    17    21     2     1
  180    79    17    18     5     2
  181    67    17    20     7     2
  182   126    17    22     3     1
  183    51    17    20     1     2
  184   122    17    20     2     1
  185    43    17    20     5     2
  186   137    17    19     7     3
  187   139    18    21     1     1
  188   140    18    21     5     1
  189   133    18    23     2     2
  190    83    18    22     6     1
  191   169    18    22     2     2
  192    71    18    20     2     3
  193   175    18    23     2     2
  194   112    18    22     7     2
  195    88    18    23     4     3
  196   125    19    22     2     1
  197    46    19    20     6     2
  198    40    19    22     7     3
  199   132    19    24     5     1
  200    54    19    22     4     2
  201    76    19    23     6     2
  202   151    19    21     7     2
  203   144    19    21     5     1
  204    92    20    22     6     1
  205   155    20    22     5     2
  206   129    20    22     3     3
  207   167    20    25     1     1
  208   133    20    25     6     1
  209   112    20    23     7     1
  210    67    20    25     6     1
  211   143    20    21     3     3
  212   152    20    21     1     3
  213    53    20    25     7     2
  214   153    20    23     6     2
  215   167    21    26     5     1
  216    13    21    23     2     3
  217   107    21    22     1     2
  218    12    21    25     7     1
  219   107    21    24     2     3
  220     8    21    23     3     2
  221    93    21    26     1     3
  222   119    21    24     5     1
  223   168    21    23     1     2
  224   117    21    25     1     1
  225    72    21    26     6     1
  226   170    21    24     3     1
  227   125    22    23     4     2
  228    10    22    24     1     1
  229    55    22    27     5     1
  230   120    22    26     5     1
  231    86    22    26     4     2
  232    35    22    25     4     2
  233    27    22    24     2     2
  234    55    23    27     1     3
  235    88    23    24     1     2
  236     9    23    27     4     2
  237   149    23    27     5     3
  238    42    23    28     3     1
  239    52    23    26     4     2
  240   142    23    25     6     1
  241   135    23    25     2     1
  242   144    23    27     7     3
  243   100    23    24     6     2
  244   166    24    26     4     3
  245   125    24    25     2     3
  246   161    24    28     5     1
  247    25    24    25     6     2
  248   105    24    25     7     3
  249    81    24    26     5     1
  250    92    24    29     6     1
  251   103    24    26     2     3
  252    83    24    26     7     2
  253    37    24    26     7     3
  254    10    24    26     6     2
  255   156    24    26     4     1
  256   163    25    29     4     1
  257    82    25    30     4     2
  258   144    25    29     7     1
  259    53    25    28     5     1
  260    45    25    27     1     2
  261   100    25    26     1     3
  262    97    25    26     6     1
  263   111    25    29     4     3
  264   113    25    26     6     1
  265   140    25    27     4     1
  266    68    25    28     6     1
  267   109    25    29     1     2
  268    50    25    28     7     2
  269     6    25    27     7     2
  270    10    25    26     7     3
  271   101    25    28     1     1
  272     6    26    27     6     2
  273    65    26    27     3     2
  274    53    26    28     2     3
  275   176    26    28     3     2
  276    70    26    29     6     1
  277   112    27    28     3     1
  278   152    27    28     2     1
  279   103    27    31     3     3
  280     3    27    31     3     2
  281    18    27    28     4     1
  282   127    27    30     2     2
  283   116    27    30     5     3
  284   168    27    30     5     1
  285    91    27    32     3     1
  286    81    27    31     6     1
  287   120    28    33     1     1
  288   151    28    33     1     2
  289    87    28    30     6     2
  290   161    28    33     4     1
  291    30    28    30     5     2
  292    69    28    30     3     1
  293   163    28    32     6     2
  294     8    28    33     4     1
  295    47    28    32     4     3
  296   134    28    31     7     3
  297    41    29    31     2     1
  298    31    29    30     5     3
  299    77    29    30     4     1
  300   157    29    33     4     1
  301    84    29    33     3     3
  302   162    29    30     2     3
  303   116    30    33     5     1
  304    85    30    32     3     1
  305   112    30    35     5     2
  306    23    30    34     1     2
  307    76    30    33     3     1
  308   109    30    32     1     2
  309   124    30    34     1     2
  310    37    30    32     7     1
  311    19    30    35     5     1
  312   167    30    33     4     1
  313   113    30    32     2     1
  314    90    30    31     1     2
  315   167    30    35     2     2
  316   126    30    31     6     2
  317    68    31    35     6     1
  318   149    31    35     5     3
  319   167    31    32     5     1
  320   140    31    35     7     1
  321   153    31    36     6     2
  322    90    31    36     3     2
  323    13    31    34     2     1
  324   102    32    37     4     1
  325    45    32    37     4     3
  326   175    32    36     3     1
  327   154    32    36     1     1
  328    48    32    33     1     2
  329     9    32    33     7     1
  330   150    32    35     4     2
  331    24    32    37     1     3
  332   136    32    34     7     1
  333    22    32    37     4     2
  334   168    32    37     2     2
  335    91    32    33     5     1
  336     8    32    35     2     1
  337    99    32    37     2     1
  338    22    32    36     2     3
  339    99    32    37     3     1
  340    75    33    35     1     3
  341   147    33    35     2     2
  342     4    33    35     4     3
  343    46    33    34     6     2
  344    62    33    36     4     3
  345    44    33    38     7     3
  346    32    33    36     1     1
  347    55    33    38     5     2
  348     6    33    35     6     2
  349   119    33    38     4     3
  350    14    33    34     7     2
  351    13    33    37     5     2
  352   117    33    35     5     1
  353     6    33    35     3     3
