DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 20

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 935

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 1000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100000

MACHINES = 7
    1     6   890
    2     7   360
    3     7   845
    4     6   515
    5     6   870
    6     7   375
    7     4   845

LOCATIONS = 118
    1   477   373
    2   375   444
    3   345   430
    4   708   471
    5   280   333
    6   532   716
    7   195   370
    8   458   404
    9   427   188
   10   539   364
   11   234   340
   12   328   544
   13   330   450
   14    92   224
   15   544   752
   16   263   503
   17   294   464
   18   664   653
   19   658   716
   20   377   399
   21   375   428
   22   543   224
   23   253   468
   24   283   623
   25   512   361
   26   206   343
   27   464   460
   28   358   388
   29   419   426
   30   559    42
   31   675   661
   32   648   352
   33   312   439
   34   346   495
   35   532    42
   36   252   456
   37   229   228
   38   248   343
   39   559   544
   40   550   603
   41   442   374
   42   392   450
   43   217   341
   44   286   452
   45   514    35
   46   676   726
   47   205   318
   48   544   416
   49   498   322
   50   349   512
   51   251   325
   52   338   575
   53   283   498
   54   478   212
   55   406   348
   56   348   261
   57   388   406
   58   571   462
   59   329   390
   60   308   252
   61   515   347
   62   183   322
   63   611   379
   64   675   375
   65   204   357
   66   651   499
   67   463   395
   68   316   421
   69   329   209
   70   557   201
   71   190   387
   72   295   237
   73   300   495
   74   332   467
   75   752   706
   76   372   369
   77   433   710
   78   264   467
   79   748   652
   80   242   350
   81   273   454
   82    46   212
   83   196   386
   84   325   473
   85   646   696
   86   332   448
   87   655   659
   88   242   340
   89   362   383
   90    60   217
   91   226   410
   92   751   635
   93   479   354
   94   282   304
   95   447   327
   96   320   524
   97   244   317
   98   419   218
   99   511   696
  100   447   246
  101   181   381
  102   273   220
  103   461   402
  104   426   187
  105   230   337
  106   529   324
  107   248   329
  108   465   439
  109   580   751
  110   347   451
  111   593   399
  112   527   364
  113   404   319
  114   199   334
  115   465   417
  116   233   342
  117   199   382
  118   335   449

REQUESTS = 300
    1    56     1     5     3     2
    2    56     1     2     5     1
    3    13     1     3     1     2
    4    55     1     6     4     1
    5    13     1     2     4     3
    6    20     1     6     3     1
    7     5     2     6     4     1
    8    77     2     4     2     2
    9    18     2     3     5     1
   10     7     2     6     2     2
   11    99     2     3     5     2
   12    54     3     8     2     2
   13    20     3     5     5     3
   14    82     3     4     5     3
   15    70     3     7     2     1
   16    74     3     7     1     1
   17    99     3     6     5     1
   18    64     3     5     5     2
   19    17     4     6     4     3
   20    89     4     7     5     1
   21    22     4     8     6     2
   22     2     4     7     4     2
   23    34     4     9     3     1
   24    40     4     7     5     1
   25    56     4     6     7     3
   26     2     5     7     7     3
   27    66     5    10     7     3
   28    54     5     9     1     2
   29     4     5     6     4     3
   30    40     5     7     6     1
   31    78     6     8     6     1
   32    66     6     9     3     2
   33    38     6    10     2     1
   34    42     6    11     4     1
   35    11     7     9     5     2
   36     9     7    10     6     1
   37    70     7    10     2     1
   38    19     7    12     1     2
   39    13     7    12     6     2
   40    39     7    10     2     1
   41    36     7    11     2     1
   42     3     8    13     5     3
   43    97     8    13     1     2
   44    55     8    11     3     2
   45    82     8    13     6     2
   46    26     8    11     6     2
   47    95     8    11     3     2
   48    13     8    10     6     1
   49    76     8     9     7     1
   50    75     8    12     1     3
   51    89     9    10     4     3
   52    62     9    10     2     2
   53    12     9    13     1     2
   54    78     9    10     1     2
