DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 17

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1310

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 10
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 100
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100

MACHINES = 4
    1     3   990
    2     6    95
    3     3   990
    4     7   590

LOCATIONS = 336
    1   420   194
    2   367   427
    3   364   298
    4   474   367
    5   525   346
    6   429   412
    7   533   421
    8   333   466
    9   490   310
   10   198   378
   11   533   296
   12   375   427
   13   388   437
   14   578   400
   15   321   243
   16   106   153
   17   567   431
   18   692   739
   19   264   505
   20   561   509
   21   547   426
   22   439   426
   23   235   332
   24   540   641
   25   310   424
   26   199   374
   27   247   494
   28   710   433
   29   589   339
   30   691   711
   31   468   439
   32   490   148
   33   225   359
   34   693   437
   35   231   439
   36   286   557
   37   353   223
   38   653   651
   39   323   470
   40   187   387
   41   227   345
   42   325   467
   43   626   707
   44   387   441
   45   733   588
   46   310   448
   47   320   410
   48   225   312
   49   430   691
   50   525   313
   51    60   217
   52   264   487
   53   507   719
   54   270   296
   55   518   311
   56   161   333
   57   725   431
   58   352   423
   59   354   379
   60   607   355
   61   232   334
   62   476    28
   63   297   587
   64   552   352
   65   283   601
   66   630   371
   67   557   207
   68   276   308
   69   374   394
   70   398   571
   71   596   344
   72   574   460
   73   300   617
   74   594   401
   75   232   343
   76   201   362
   77   204   369
   78   395   424
   79   273   370
   80   230   337
   81   312   469
   82   383   461
   83   431   400
   84   161   292
   85   193   394
   86   253   448
   87   204   323
   88   601   350
   89   346   496
   90   697   353
   91   453   252
   92   331   460
   93   705   451
   94   576   344
   95   317   469
   96   711   688
   97   634   496
   98   387   388
   99   670   468
  100   238   382
  101   506   701
  102   604   472
  103   256   469
  104   363   382
  105   411   280
  106   678   667
  107   205   367
  108   242   364
  109   532    33
  110   283   547
  111   458   180
  112   251   469
  113   718   446
  114   645   345
  115   629   669
  116   568   512
  117   731   588
  118   750   426
  119   531    12
  120   346   403
  121   576   508
  122   188   394
  123   293   659
  124   346   395
  125   473   296
  126   489   364
  127   211   380
  128   515   356
  129   574   176
  130   304   469
  131   378   345
  132   480   207
  133   108   270
  134   748   652
  135   253   348
  136   422   331
  137   188   381
  138   177   342
  139   736   593
  140   362   433
  141    75   274
  142   298   469
  143   575   183
  144   278   373
  145   386   437
  146   358   330
  147   288   311
  148   305   560
  149   730   763
  150   476   587
  151   424   215
  152   405   353
  153   554   136
  154   437   695
  155   402   361
  156   206   346
  157   339   540
  158   465   460
  159   539   412
  160   266   479
  161   343   402
  162   452   249
  163   131   241
  164   284   640
  165   267   490
  166   302   558
  167   287   548
  168   186   381
  169   446   675
  170   610   711
  171   739   603
  172   123   150
  173   537   417
  174   261   311
  175   323   459
  176   203   340
  177   667   714
  178   492    36
  179   213   374
  180   255   213
  181   423   638
  182   404   178
  183   479   373
  184   430   708
  185   532    42
  186   306   445
  187   436   327
  188    97   162
  189   262   329
  190   478   699
  191   242   345
  192   503   712
  193   426   669
  194    81   201
  195   261   481
  196   314   474
  197   557   131
  198   769   620
  199   314   470
  200   470   343
  201   503   202
  202   301   247
  203   226   334
  204   602   404
  205   577   396
  206   407   304
  207   733   584
  208   263   468
  209   450   369
  210   723   447
  211   737   455
  212   494   289
  213   309   464
  214   496    34
  215   266   525
  216   695   788
  217   268   449
  218   201   314
  219   230   383
  220   391   468
  221   272   451
  222   327   307
  223   293   631
  224   308   274
  225   525   350
  226   247   345
  227   355   232
  228   447   370
  229   447   460
  230   668   661
  231   473   375
  232   249   438
  233   217   338
  234   499   392
  235   735   598
  236   467   465
  237   367   421
  238   441   428
  239   480   365
  240   316   465
  241   307   376
  242   292   471
  243   728   622
  244   396   450
  245   517     4
  246   364   342
  247   108   147
  248    85   136
  249   618   363
  250   194   312
  251   585   404
  252   393   330
  253   363   389
  254   607   364
  255   161   290
  256   671   735
  257   264   504
  258   374   424
  259   178   382
  260   488   646
  261   308   475
  262   758   476
  263   224   339
  264   147   337
  265   293   467
  266   500   322
  267   286   452
  268   541   166
  269   185   376
  270   665   700
  271   563   341
  272   302   467
  273   470   375
  274   302   467
  275   573   343
  276   735   598
  277   283   236
  278   541    45
  279   237   412
  280   480   361
  281   504   474
  282   344   454
  283   577   596
  284   238   241
  285   611   347
  286   627   399
  287   506   306
  288   240   473
  289   294   464
  290   297   501
  291   315   385
  292   557   131
  293   223   401
  294   296   463
  295   391   451
  296   724   752
  297   299   523
  298   577   443
  299   271   526
  300   436   420
  301   453   336
  302   584   364
  303   197   382
  304   255   307
  305   486   125
  306   285   646
  307   537   446
  308   286   452
  309   247   348
  310   160   312
  311   302   433
  312   671   691
  313   285   641
  314   523   485
  315   190   387
  316   413   278
  317   223   373
  318   293   557
  319   243   329
  320   183   384
  321   284   385
  322   561    28
  323   473   371
  324   183   370
  325   470   377
  326   156   356
  327   310   254
  328   235   411
  329   315   306
  330   304   581
  331   433   710
  332   171   375
  333   350   369
  334   416   402
  335   323   467
  336   518   286

REQUESTS = 975
    1   192     1     3     1     2
    2   307     1     6     1     3
    3   281     1     2     4     1
    4    42     1     4     3     2
    5   178     1     4     1     1
    6   269     1     2     4     1
    7    46     1     5     1     3
    8   276     1     2     3     3
    9    24     1     3     2     1
   10   204     1     5     1     2
   11   142     1     2     1     3
   12    10     1     2     3     3
   13   145     1     6     1     3
   14   325     1     4     4     1
   15   117     1     4     4     1
   16   151     1     6     1     1
   17     7     1     4     4     1
   18   225     1     5     1     1
   19   206     1     4     1     2
   20    19     1     6     2     1
   21    15     1     3     1     3
   22   219     1     4     3     1
   23   305     1     2     1     1
   24    37     1     2     2     1
   25   100     1     4     4     1
   26    59     1     6     4     1
   27   265     1     5     2     3
   28   284     1     5     1     3
   29   112     1     5     2     2
   30   119     1     2     1     3
   31   269     1     5     4     2
   32    92     1     5     4     1
   33   205     1     4     2     2
   34    92     1     4     4     2
   35   137     1     4     1     1
   36   255     1     3     1     2
   37    86     2     6     3     1
   38    48     2     4     4     2
   39    30     2     4     3     1
   40    32     2     3     4     2
   41    56     2     6     4     1
   42     3     2     7     3     2
   43   101     2     6     4     1
   44   257     2     4     3     2
   45   214     2     6     1     1
   46   148     2     7     2     2
   47    95     2     6     1     1
   48   119     2     7     2     2
   49    74     2     3     2     2
   50   114     2     6     1     3
   51   255     2     5     2     3
   52   211     2     5     1     3
   53   237     2     7     4     1
   54   179     2     3     4     1
   55   228     2     7     1     1
   56   288     2     7     1     3
   57   291     2     5     2     2
   58     2     2     4     4     1
   59   160     2     4     2     2
   60   122     2     3     1     2
   61    11     2     3     2     2
   62   296     2     6     2     3
   63   320     2     3     1     2
   64   281     2     3     1     3
   65   214     2     7     4     2
   66    58     2     7     2     3
   67    60     2     7     2     1
   68   244     2     3     1     2
   69   248     2     5     3     3
   70    22     2     5     4     1
   71   307     2     7     4     1
   72   194     2     6     2     2
   73   150     2     5     2     3
   74   289     2     5     3     3
   75   270     2     4     1     1
   76   171     2     6     2     1
   77   139     2     4     1     3
   78   227     2     4     1     2
   79   100     2     4     3     3
   80   186     2     6     1     3
   81   283     2     6     1     3
   82   227     2     3     3     1
   83   205     2     7     1     1
   84   247     2     4     2     1
   85   135     2     5     2     1
