DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 18

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1200

TRUCK_DISTANCE_COST = 100
TRUCK_DAY_COST = 10000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 1000

MACHINES = 5
    1     3   990
    2     6    95
    3     3   990
    4     7   590
    5     7    35

LOCATIONS = 415
    1   364   298
    2   474   367
    3   525   346
    4   429   412
    5   533   421
    6   333   466
    7   490   310
    8   198   378
    9   533   296
   10   375   427
   11   388   437
   12   578   400
   13   321   243
   14   106   153
   15   567   431
   16   692   739
   17   264   505
   18   561   509
   19   547   426
   20   439   426
   21   235   332
   22   540   641
   23   310   424
   24   199   374
   25   247   494
   26   710   433
   27   589   339
   28   691   711
   29   468   439
   30   490   148
   31   225   359
   32   693   437
   33   231   439
   34   286   557
   35   353   223
   36   653   651
   37   323   470
   38   187   387
   39   227   345
   40   325   467
   41   626   707
   42   387   441
   43   733   588
   44   310   448
   45   320   410
   46   225   312
   47   430   691
   48   525   313
   49    60   217
   50   264   487
   51   507   719
   52   270   296
   53   518   311
   54   161   333
   55   725   431
   56   352   423
   57   354   379
   58   607   355
   59   232   334
   60   476    28
   61   297   587
   62   552   352
   63   283   601
   64   630   371
   65   557   207
   66   276   308
   67   374   394
   68   398   571
   69   596   344
   70   574   460
   71   300   617
   72   594   401
   73   232   343
   74   201   362
   75   204   369
   76   395   424
   77   273   370
   78   230   337
   79   312   469
   80   383   461
   81   431   400
   82   161   292
   83   193   394
   84   253   448
   85   204   323
   86   601   350
   87   346   496
   88   697   353
   89   453   252
   90   331   460
   91   705   451
   92   576   344
   93   317   469
   94   711   688
   95   634   496
   96   387   388
   97   670   468
   98   238   382
   99   506   701
  100   604   472
  101   256   469
  102   363   382
  103   411   280
  104   678   667
  105   205   367
  106   242   364
  107   532    33
  108   283   547
  109   458   180
  110   251   469
  111   718   446
  112   645   345
  113   629   669
  114   568   512
  115   731   588
  116   750   426
  117   531    12
  118   346   403
  119   576   508
  120   188   394
  121   293   659
  122   346   395
  123   473   296
  124   489   364
  125   211   380
  126   515   356
  127   574   176
  128   304   469
  129   378   345
  130   480   207
  131   108   270
  132   748   652
  133   253   348
  134   422   331
  135   188   381
  136   177   342
  137   736   593
  138   362   433
  139    75   274
  140   298   469
  141   575   183
  142   278   373
  143   386   437
  144   358   330
  145   288   311
  146   305   560
  147   730   763
  148   476   587
  149   424   215
  150   405   353
  151   554   136
  152   437   695
  153   402   361
  154   206   346
  155   339   540
  156   465   460
  157   539   412
  158   266   479
  159   343   402
  160   452   249
  161   131   241
  162   284   640
  163   267   490
  164   302   558
  165   287   548
  166   186   381
  167   446   675
  168   610   711
  169   739   603
  170   123   150
  171   537   417
  172   261   311
  173   323   459
  174   203   340
  175   667   714
  176   492    36
  177   213   374
  178   255   213
  179   423   638
  180   404   178
  181   479   373
  182   430   708
  183   532    42
  184   306   445
  185   436   327
  186    97   162
  187   262   329
  188   478   699
  189   242   345
  190   503   712
  191   426   669
  192    81   201
  193   261   481
  194   314   474
  195   557   131
  196   769   620
  197   314   470
  198   470   343
  199   503   202
  200   301   247
  201   226   334
  202   602   404
  203   577   396
  204   407   304
  205   733   584
  206   263   468
  207   450   369
  208   723   447
  209   737   455
  210   494   289
  211   309   464
  212   496    34
  213   266   525
  214   695   788
  215   268   449
  216   201   314
  217   230   383
  218   391   468
  219   272   451
  220   327   307
  221   293   631
  222   308   274
  223   525   350
  224   247   345
  225   355   232
  226   447   370
  227   447   460
  228   668   661
  229   473   375
  230   249   438
  231   217   338
  232   499   392
  233   735   598
  234   467   465
  235   367   421
  236   441   428
  237   480   365
  238   316   465
  239   307   376
  240   292   471
  241   728   622
  242   396   450
  243   517     4
  244   364   342
  245   108   147
  246    85   136
  247   618   363
  248   194   312
  249   585   404
  250   393   330
  251   363   389
  252   607   364
  253   161   290
  254   671   735
  255   264   504
  256   374   424
  257   178   382
  258   488   646
  259   308   475
  260   758   476
  261   224   339
  262   147   337
  263   293   467
  264   500   322
  265   286   452
  266   541   166
  267   185   376
  268   665   700
  269   563   341
  270   302   467
  271   470   375
  272   302   467
  273   573   343
  274   735   598
  275   283   236
  276   541    45
  277   237   412
  278   480   361
  279   504   474
  280   344   454
  281   577   596
  282   238   241
  283   611   347
  284   627   399
  285   506   306
  286   240   473
  287   294   464
  288   297   501
  289   315   385
  290   557   131
  291   223   401
  292   296   463
  293   391   451
  294   724   752
  295   299   523
  296   577   443
  297   271   526
  298   436   420
  299   453   336
  300   584   364
  301   197   382
  302   255   307
  303   486   125
  304   285   646
  305   537   446
  306   286   452
  307   247   348
  308   160   312
  309   302   433
  310   671   691
  311   285   641
  312   523   485
  313   190   387
  314   413   278
  315   223   373
  316   293   557
  317   243   329
  318   183   384
  319   284   385
  320   561    28
  321   473   371
  322   183   370
  323   470   377
  324   156   356
  325   495   319
  326   468   465
  327   310   254
  328   347   365
  329   539   360
  330   190   386
  331    34   238
  332   706   558
  333   596   347
  334   260   472
  335   147   277
  336   273   529
  337   142   152
  338   287   555
  339   645   706
  340   746   723
  341   235   411
  342   320   464
  343   352   510
  344   361   391
  345   560   720
  346   492   185
  347   288   509
  348   307   490
  349   361   397
  350   515   523
  351   331   464
  352   531   731
  353   689   464
  354   317   462
  355   700   706
  356   323   242
  357   148   315
  358   684   736
  359   701   354
  360   582   436
  361   252   342
  362   493   357
  363   691   474
  364   281   416
  365   421   189
  366   397   479
  367   221   424
  368   352   460
  369   354   379
  370   575   168
  371   359   359
  372   544   416
  373   403   328
  374   221   336
  375   253   471
  376   578   363
  377   757   580
  378   543   364
  379   305   347
  380   500   734
  381   347   402
  382   296   503
  383   291   438
  384   417   435
  385   375   252
  386   382   346
  387   525   353
  388   597   639
  389   624   420
  390   436   426
  391    49   214
  392   310   448
