DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 16

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 10
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 10

MACHINES = 3
    1     3   632
    2     7   623
    3     6    34

LOCATIONS = 255
    1   468   439
    2   252   257
    3   376   431
    4   226   337
    5   310   272
    6   331   448
    7   153   340
    8   358   385
    9   655   397
   10   295   267
   11   528   644
   12   402   462
   13   566   461
   14    46   179
   15   332   356
   16   363   255
   17   282   441
   18   500   790
   19   268   451
   20   545     5
   21   469   450
   22   430   330
   23   492    36
   24   773   616
   25   300   233
   26   280   376
   27   316   308
   28   195   393
   29   516   310
   30   384   464
   31   470   377
   32   652   725
   33   175   370
   34   550   421
   35   589   478
   36   464   460
   37   230   383
   38   464   417
   39   274   454
   40   356   559
   41   378   401
   42   375   388
   43   588   564
   44   238   332
   45   356   229
   46   359   240
   47   189   385
   48   506   475
   49   257   267
   50   620   693
   51   355   373
   52   354   266
   53   544    24
   54   360   227
   55    31   186
   56   514   327
   57   486   143
   58   568   687
   59   526   314
   60   397   569
   61   226   326
   62   261   481
   63   362   385
   64   587   491
   65   593   550
   66   184   387
   67   161   290
   68   564    32
   69   220   369
   70   274   315
   71   310   475
   72   706   472
   73   273   330
   74    36   161
   75   318   465
   76   324   464
   77   239   409
   78   240   472
   79    45   211
   80   489   364
   81   269   302
   82   415   216
   83   472   729
   84   201   387
   85   588   359
   86   414   412
   87   739   603
   88   457   193
   89   540   223
   90   468   388
   91   347   398
   92   300   448
   93   486   726
   94   307   475
   95   710   734
   96   442   427
   97   682   391
   98   595   403
   99   266   492
  100   591   615
  101   268   523
  102   305   468
  103   365   390
  104   301   544
  105   261   372
  106   267   476
  107   353   358
  108   244   333
  109   416   216
  110   365   182
  111   107   215
  112   524   483
  113   315   458
  114   526   399
  115   313   471
  116   512   361
  117   264   480
  118   311   472
  119   365   396
  120   462   731
  121    26   179
  122   545    36
  123   747   582
  124   324   533
  125   566   432
  126   435   192
  127   686   668
  128   316   486
  129   524   169
  130   679   527
  131   361   327
  132   333   458
  133   232   378
  134    23   148
  135   636   699
  136   319   561
  137   223   435
  138   371   445
  139   375   226
  140   608   647
  141   255   498
  142   317   464
  143   190   377
  144   456   365
  145   279   244
  146   302   577
  147   686   490
  148   622   339
  149   367   204
  150   544   464
  151   514   600
  152   270   320
  153   533   443
  154   270   508
  155   610   393
  156   656   363
  157   325   466
  158   549   255
  159   483   359
  160   240   317
  161   727   608
  162   544    19
  163   298   341
  164   539   422
  165   423   239
  166   397   378
  167   539   223
  168   315   483
  169   228   221
  170   335   457
  171   484   359
  172   505   714
  173   267   523
  174   625   330
  175   457   395
  176   359   551
  177   544   230
  178   556   366
  179   735   455
  180   357   242
  181   384   415
  182   347   368
  183   478   364
  184   184   373
  185   375   446
  186   488   395
  187   377   462
  188   370   447
  189   611   412
  190   210   321
  191   512   308
  192   273   484
  193   359   383
  194   313   491
  195   525   360
  196   560    36
  197   260   443
  198    92   136
  199   699   335
  200   638   562
  201   503   645
  202   295   469
  203   139   145
  204   192   381
  205   732   418
  206   215   338
  207   310   464
  208   201   335
  209   209   399
  210   358   388
  211   470   375
  212   171   363
  213   295   269
  214   674   402
  215   254   358
  216   263   352
  217   231   341
  218   559   502
  219   442   426
  220   473   208
  221   478   375
  222   394   414
  223   262   481
  224   331   464
  225   322   465
  226    22   215
  227   217   341
  228   670   715
  229   187   369
  230   203   364
  231   363   390
  232    95   285
  233   715   439
  234   573   514
  235   325   469
  236   319   466
  237   304   496
  238   668   719
  239   268   453
  240   291   438
  241   261   485
  242   621   644
  243   267   476
  244    97   245
  245   599   421
  246   376   373
  247   673   374
  248   477   352
  249   718   451
  250   202   194
  251   265   406
  252   463   741
  253   322   327
  254   665   703
  255   197   385

REQUESTS = 750
    1   244     1     6     3     2
    2    87     1     3     3     3
    3   240     1     5     3     2
    4   224     1     2     3     3
    5   195     1     6     2     2
    6   172     1     3     2     1
    7   173     1     3     1     2
    8   109     1     5     1     1
    9   161     1     2     2     1
   10     9     1     2     1     3
   11   188     1     5     1     2
   12     5     1     6     3     1
   13   250     1     3     3     1
   14   204     1     3     1     2
   15    46     1     6     2     2
   16   218     1     4     1     1
   17   128     1     5     3     2
   18    54     1     6     3     3
   19    82     1     2     2     1
   20   113     1     4     2     1
   21    54     1     5     3     2
   22   240     1     6     1     2
   23   142     1     2     1     3
   24    87     1     4     3     3
   25   123     1     6     2     2
   26   164     1     4     2     2
   27   111     1     2     2     2
   28    15     1     3     1     3
   29   199     1     2     1     1
   30   139     1     6     1     3
   31   225     1     2     1     1
   32   138     1     6     3     3
   33    18     1     4     1     1
   34   185     1     2     1     2
   35    64     1     2     3     1
   36    96     1     3     1     1
   37   220     1     3     3     3
   38   164     1     3     3     3
   39   159     1     5     1     2
   40   169     1     5     3     1
   41     5     1     5     2     1
   42   219     1     3     3     3
   43    70     1     6     1     3
   44    43     1     6     2     2
   45    57     1     3     1     2
   46   127     1     2     1     2
   47   121     1     6     1     2
   48    65     1     3     1     3
   49    27     1     5     3     1
   50   138     1     5     2     1
   51    72     1     4     2     2
   52    28     1     5     3     3
   53    54     1     6     2     1
   54   199     1     3     1     3
   55    79     1     2     2     1
   56    97     1     5     3     3
   57   235     1     4     3     1
   58   107     1     3     3     3
   59    37     1     2     3     2
   60   203     1     3     2     1
   61   161     1     4     2     2
   62   221     1     2     2     2
   63   214     1     5     3     2
   64    94     1     6     2     2
   65     2     1     2     2     2
   66   231     1     6     3     1
   67   157     1     5     3     2
   68   237     1     2     3     3
   69   106     1     3     1     2
   70   139     1     3     1     2
   71   186     1     4     2     1
   72   168     1     2     3     1
   73   119     1     2     1     2
   74    85     1     3     2     1
   75    35     1     2     1     2
   76   164     1     2     3     2
   77   172     1     4     2     1
   78   210     1     5     3     2
   79    83     1     4     2     1
   80   216     1     5     2     1
   81   248     1     5     1     1
   82    96     1     5     3     3
   83   217     1     4     1     3
   84    79     1     5     2     1
   85    73     1     5     2     2
   86    49     1     4     1     1
   87    69     1     2     3     2
   88   146     1     3     2     1
   89   141     1     4     1     1
   90    26     1     3     3     3
   91    96     1     5     2     2
   92   193     1     3     1     3
   93    94     1     4     3     2
   94    56     1     4     2     1
   95   102     2     5     3     1
   96    64     2     7     1     1
   97   120     2     3     3     3
   98    47     2     5     3     3
   99   207     2     6     3     2
  100   102     2     3     2     1
  101    85     2     5     3     2
  102   111     2     7     3     2
  103   121     2     5     2     2
  104     3     2     7     2     1
  105    20     2     6     2     1
  106   213     2     5     2     2
  107   181     2     5     3     2
  108   132     2     4     1     3
  109   118     2     7     3     3
  110   109     2     4     1     2
  111   112     2     5     1     1
  112   211     2     6     3     1
  113    27     2     7     2     1
  114   158     2     5     2     1
  115    88     2     3     3     3
  116     9     2     5     2     2
  117   182     2     4     1     1
  118    65     2     3     3     2
  119    24     2     3     1     3
  120   203     2     4     3     2
  121    54     2     6     3     2
  122   174     2     3     1     1
  123    51     2     5     3     1
  124   103     2     3     2     1
  125   211     2     3     2     2
  126   222     2     5     1     2
  127   235     2     6     1     1
  128   184     2     7     3     1
  129   247     2     5     2     2
  130   183     2     3     3     2
  131   106     2     6     3     1
  132   148     2     6     2     1
  133   228     2     7     3     3
  134    25     2     6     2     1
  135    82     2     4     3     2
  136   127     2     5     3     3
  137    82     2     6     3     3
  138    86     2     5     2     2
  139   109     2     3     1     3
  140   178     2     7     1     1
  141    93     2     4     2     2
  142    11     2     5     3     1
  143   200     2     6     3     3
  144   130     2     6     2     1
  145    12     2     6     2     2
  146   126     2     5     3     2
  147     7     2     3     1     1
  148   197     2     7     1     2
  149    76     2     6     3     2
  150    53     2     4     3     3
  151   102     2     6     2     2
  152    98     2     6     3     2
  153   195     2     6     1     3
  154    75     2     3     1     1
  155    66     2     3     2     2
  156   226     2     3     3     1
  157    64     2     5     1     1
  158    63     2     3     2     1
  159    45     2     4     3     3
  160   224     2     4     2     2
  161    28     2     6     1     2
  162   140     2     7     1     3
  163   204     2     4     1     2
  164   125     2     6     2     2
  165   230     2     5     2     2
  166   238     2     7     1     1
  167   153     2     3     3     3
  168   178     2     5     2     2
  169   128     2     6     2     2
  170    69     2     7     1     1
  171   235     2     3     1     1
  172    18     2     4     3     2
  173   247     2     6     3     1
  174    67     2     3     1     2
  175   115     2     6     1     3
  176   194     2     4     1     2
  177   238     2     3     3     1
  178    63     2     6     1     3
  179   205     3     5     2     2
  180    72     3     4     3     3
  181   118     3     8     1     1
  182   211     3     4     1     2
  183    85     3     4     1     1
  184   168     3     8     1     2
  185   153     3     4     3     3
  186   137     3     4     1     3
  187   140     3     7     2     1
  188    59     3     8     1     2
  189   187     3     4     3     1
  190   105     3     8     2     2
  191    86     3     7     1     3
  192   157     3     6     3     2
  193   170     3     6     1     3
  194   242     3     5     1     1
  195   247     3     7     3     3
  196    52     3     7     1     3
  197    32     3     5     2     1
  198    35     3     4     2     1
  199    21     3     4     1     1
  200   176     3     7     3     2
  201    70     3     5     2     1
  202    75     3     6     1     3
  203   107     3     8     1     2
  204   182     3     4     1     1
  205   240     3     5     1     3
  206   243     3     8     2     1
  207   205     3     7     1     2
  208   183     3     7     1     2
  209    37     3     6     2     2
  210    52     3     6     3     3
  211   245     3     7     3     2
  212    59     3     5     1     3
  213   102     3     6     2     2
  214    40     3     8     1     3
  215    62     3     5     1     3
  216    62     3     8     3     1
  217    15     3     6     1     1
  218   186     3     7     1     1
  219   121     3     8     2     1
  220   124     3     4     3     2
  221   121     3     4     1     1
  222   214     3     4     1     1
  223   232     3     7     2     1
  224   144     3     5     2     2
  225   146     3     4     3     3
  226   163     3     8     2     2
  227    28     3     6     3     2
  228   242     3     4     3     1
  229   204     3     6     2     2
  230    91     3     6     3     3
  231   148     3     6     3     3
  232   165     3     5     1     2
  233    35     3     5     2     2
  234   240     3     5     2     2
  235   204     3     7     3     2
  236   163     3     6     1     2
  237   117     3     4     1     2
  238   182     3     7     1     1
  239   180     3     7     2     1
  240    85     3     6     1     3
  241    12     3     6     1     3
  242   244     3     6     1     2
  243   245     3     6     2     1
  244   171     3     6     1     3
  245    93     3     8     1     2
  246   241     3     4     2     2
  247    26     3     8     1     2
  248   118     3     6     1     1
  249    92     3     7     1     3
  250   121     3     5     2     1
  251   193     3     5     1     1
  252    98     3     7     3     3
  253   180     3     7     2     2
  254   210     3     7     2     1
  255    32     3     7     3     3
  256    97     3     7     2     2
  257    99     4     7     2     2
  258   213     4     5     2     2
  259   125     4     8     1     3
  260   121     4     5     3     1
  261     9     4     6     3     2
  262    46     4     7     3     2
  263    40     4     9     2     1
  264   204     4     5     1     3
  265    65     4     9     2     2
  266    64     4     9     1     3
  267   128     4     5     2     1
  268   137     4     9     1     3
  269   121     4     9     1     2
  270   245     4     7     1     1
  271   238     4     8     1     3
  272   152     4     9     2     2
  273   204     4     7     2     1
  274   251     4     6     1     2
  275   140     4     9     2     2
  276    26     4     8     3     2
  277    81     4     6     1     3
  278    38     4     6     1     2
  279   237     4     8     1     2
  280   176     4     8     1     3
  281   127     4     9     1     3
  282   177     4     9     3     2
  283   116     4     5     1     2
  284   249     4     5     1     1
  285    98     4     5     2     1
  286   219     4     8     1     3
  287    73     4     5     2     2
  288   135     4     9     2     1
  289   245     4     9     3     2
  290   240     4     8     3     1
  291   145     4     6     3     1
  292   171     4     9     3     3
  293    17     4     5     3     1
  294    94     4     6     2     1
  295    85     4     9     2     2
  296   247     4     7     3     2
  297   180     4     7     1     2
  298   203     4     6     3     2
  299   103     4     5     1     3
  300    55     4     7     3     2
  301    70     4     7     1     1
  302   191     4     6     1     1
  303   201     4     7     3     2
  304    66     4     5     2     1
  305    46     4     8     1     2
  306    71     4     9     2     2
  307   172     4     8     2     2
  308    49     4     7     3     2
  309    80     4     9     3     3
  310   146     4     9     3     3
  311    46     4     7     3     3
  312   227     4     7     3     1
  313    70     4     5     1     2
  314    68     4     7     1     3
  315   165     4     5     1     1
  316   154     4     5     3     2
  317   244     4     6     2     2
  318   223     4     8     2     2
  319   178     4     9     2     2
  320    84     4     6     2     1
  321   196     4     5     3     3
  322   179     4     6     1     3
  323    22     4     9     3     3
  324    85     4     8     2     2
  325    85     4     9     2     2
