DATASET = ORTEC Early VeRoLog 2019 - easy
NAME = Instance 19 easy

DAYS = 45
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1080

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 10
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 100
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 10000

MACHINES = 6
	1	8	720
	2	7	570
	3	6	730
	4	3	755
	5	7	910
	6	5	315

LOCATIONS = 41
	1	159	313
	2	528	364
	3	643	334
	4	250	236
	5	549	122
	6	91	194
	7	356	391
	8	567	381
	9	492	155
	10	391	307
	11	500	322
	12	473	376
	13	426	210
	14	398	328
	15	329	534
	16	392	386
	17	171	369
	18	516	318
	19	695	366
	20	44	229
	21	522	253
	22	230	319
	23	388	378
	24	302	491
	25	251	350
	26	209	372
	27	244	345
	28	374	408
	29	240	350
	30	689	772
	31	559	359
	32	289	240
	33	359	441
	34	546	430
	35	226	410
	36	589	441
	37	727	752
	38	353	369
	39	475	744
	40	450	290
	41	182	378

REQUESTS = 75
	1	21	1	5	6	3
	2	5	1	2	1	2
	3	6	2	6	6	1
	4	16	2	4	5	2
	5	16	2	6	5	2
	6	20	2	5	4	1
	7	25	3	4	4	1
	8	6	5	8	3	2
	9	9	5	6	3	1
	10	25	5	7	6	3
	11	15	6	11	3	3
	12	12	6	7	3	3
	13	6	6	11	4	3
	14	7	7	9	3	1
	15	26	7	12	3	3
	16	17	8	12	1	1
	17	13	8	13	1	1
	18	8	10	14	2	1
	19	8	10	13	5	1
	20	11	10	11	3	2
	21	22	10	13	3	3
	22	16	11	16	6	2
	23	25	11	15	1	2
	24	13	12	17	5	2
	25	8	14	15	4	1
	26	3	14	16	4	1
	27	17	15	19	2	2
	28	21	16	17	1	2
	29	5	17	19	1	2
	30	25	18	23	6	3
	31	12	18	21	3	2
	32	17	18	22	6	1
	33	22	18	23	5	1
	34	3	19	24	5	2
	35	14	19	23	5	1
	36	14	19	22	4	3
	37	16	19	20	4	3
	38	23	20	22	2	1
	39	23	20	24	2	1
	40	11	21	25	3	1
	41	14	21	24	4	2
	42	18	22	25	5	1
	43	5	23	25	2	2
	44	20	24	25	4	3
	45	15	24	29	3	1
	46	14	25	29	4	1
	47	14	25	30	3	1
	48	21	25	26	1	2
	49	19	26	31	5	1
	50	17	27	32	4	2
	51	23	27	32	3	1
	52	4	28	31	2	1
	53	19	29	30	3	1
	54	13	29	31	4	2
	55	2	29	30	2	2
	56	10	30	34	3	2
	57	10	30	33	3	2
	58	2	30	31	2	1
	59	18	31	33	4	1
	60	13	31	33	6	1
	61	25	32	37	5	1
	62	15	32	35	6	3
	63	2	32	35	4	1
	64	22	32	36	4	3
	65	8	33	38	4	3
	66	22	33	36	3	2
	67	19	35	36	3	2
	68	21	35	36	1	1
	69	21	36	40	5	2
	70	14	36	41	1	1
	71	11	36	39	4	3
	72	6	36	41	6	2
	73	18	37	40	1	2
	74	9	37	41	1	1
	75	2	37	39	1	2

TECHNICIANS = 175
1	17	155	9	1	0	0	1	0	1	
2	9	825	8	0	1	1	1	0	0	
3	20	970	8	0	1	0	0	0	0	
4	25	535	9	1	1	0	0	0	0	
5	18	130	9	0	1	0	1	0	1	
6	27	455	7	0	0	0	0	1	0	
7	8	270	5	1	0	1	0	0	1	
