DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 14

DAYS = 45
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 925

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 100000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 10000

MACHINES = 6
    1     3   395
    2     5   550
    3     7    70
    4     7   140
    5     5    45
    6     4   645

LOCATIONS = 118
    1   400   405
    2   757   473
    3   541   432
    4   479   357
    5   510   358
    6   530    50
    7   479   339
    8   419   409
    9   471   364
   10   334   241
   11   556   194
   12   717   708
   13   674   721
   14   515   759
   15   353   398
   16   375   306
   17   400   419
   18   205   221
   19   185   390
   20   557   507
   21   535   360
   22   523   485
   23   371   424
   24   431   707
   25   303   261
   26   344   402
   27   260   482
   28   470   464
   29   324   254
   30   450   291
   31   472   449
   32   545   713
   33   285   386
   34   372   367
   35   376   429
   36   474    20
   37   267   456
   38   229   410
   39   240   241
   40   236   284
   41   625   332
   42   711   740
   43   334   465
   44   452   363
   45   399   482
   46   292   416
   47   586   543
   48   529   357
   49   106   217
   50   764   432
   51   564   686
   52    87   225
   53   265   371
   54   414   276
   55   441   303
   56   307   534
   57   399   569
   58   199   363
   59   650   500
   60   276   314
   61   319   482
   62   689   344
   63   544   450
   64   477   664
   65   522   361
   66   161   311
   67   330   391
   68   233   353
   69   360   382
   70   379   551
   71   369   427
   72   266   454
   73    95   285
   74   268   306
   75   374   237
   76   376   557
   77   413   161
   78   187   216
   79   369   445
   80   327   459
   81   200   227
   82   466   243
   83   196   312
   84   353   232
   85   359   388
   86   178   343
   87   286   238
   88   230   324
   89   313   389
   90   555   189
   91   414   279
   92   612   393
   93   535   424
   94   640   539
   95   265   407
   96   471   790
   97   428   401
   98   640   387
   99   305   434
  100   705   453
  101   675   776
  102   730   714
  103   384   449
  104   563   691
  105   313   444
  106   559   392
  107   198   379
  108   453   365
  109   489   339
  110   227   325
  111   539   423
  112   217   323
  113   599   682
  114   284   547
  115   130   259
  116   274   450
  117   165   332
  118   490   305

REQUESTS = 300
    1    52     1     5     5     3
    2    61     1     5     1     3
    3    87     1     2     3     2
    4    92     1     2     2     2
    5    93     1     6     3     2
    6    38     1     4     3     2
    7    84     1     2     6     1
    8     3     1     3     3     2
    9    22     2     3     1     1
   10    10     2     4     2     2
   11    75     2     7     5     1
   12    31     2     3     1     2
   13    48     2     4     1     3
