DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 10

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 100000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 100000

MACHINES = 7
    1     5   414
    2     5   950
    3     7    21
    4     6   721
    5     6   956
    6     6   410
    7     4   764

LOCATIONS = 274
    1   620   342
    2   448   289
    3   453   385
    4   603   352
    5   353   252
    6   334   388
    7   546   728
    8   579   443
    9   331   507
   10   533   311
   11   203   319
   12   721   768
   13   548   425
   14   279   521
   15   329   513
   16   302   243
   17   592   422
   18   291   239
   19   523   485
   20   470   369
   21   670   713
   22   430   512
   23   535   343
   24   524   398
   25   441   358
   26   348   509
   27   561   342
   28   199   336
   29   670   342
   30   296   239
   31   198   314
   32   606   354
   33   287   300
   34   291   523
   35   735   419
   36   466   388
   37   504    49
   38   603   327
   39   736   421
   40   186   302
   41   757   618
   42   513   362
   43   201   334
   44    71   160
   45   498   318
   46   619   634
   47   499   660
   48   442   346
   49   334   315
   50   260   311
   51   186   375
   52   529   278
   53   478   355
   54   469   161
   55   328   512
   56   291   406
   57   294   510
   58   229   346
   59   373   442
   60   712   704
   61   280   448
   62   422   323
   63   257   422
   64   437   511
   65   275   369
   66   434   508
   67   425   407
   68   195   313
   69   547   618
   70   548   713
   71   285   644
   72   295   597
   73   328   376
   74   415   431
   75   312   477
   76   397   479
   77   326   469
   78   375   375
   79   410   373
   80   590   407
   81   706   703
   82   192   382
   83   568   446
   84   175   271
   85   303   258
   86   432   681
   87   205   389
   88   357   393
   89   358   397
   90   612   348
   91   541   326
   92   270   298
   93   235   443
   94   338   313
   95   613   625
   96   765   667
   97   563   674
   98   225   342
   99   645   603
  100   197   385
  101   533   347
  102   422   398
  103   221   224
  104   226   329
  105   514   489
  106   579   720
  107   258   440
  108   254   327
  109   669   469
  110   272   516
  111   537   645
  112   458   182
  113   209   401
  114   518    79
  115   234   377
  116   526   399
  117   176   372
  118   561   412
  119   359   382
  120   311   459
  121   476   666
  122   369   569
  123   220   415
  124   202   366
  125   695   357
  126   373   578
  127   125   271
  128   503    81
  129   229   364
  130   516   339
  131   335   469
  132   291   219
  133   250   332
  134   548   474
  135   758   442
  136   254   494
  137   197   374
  138   198   387
  139   661   513
  140   546   728
  141   217   330
  142   674   402
  143   258   498
  144   411   240
  145   299   472
  146   362   432
  147   429   442
  148   368   388
  149   400   282
  150   348   437
  151   448   714
  152   236   405
  153   380   568
  154   262   237
  155   320   563
  156   278   365
  157   574   367
  158   456   309
  159   665   703
  160   489   610
  161   313   477
  162   326   262
  163   373   578
  164   575   361
  165   398   256
  166   234   333
  167   541   432
  168   256   321
  169   379   429
  170   522   331
  171   373   444
  172   590   351
  173   217   323
  174   695   788
  175   334   460
  176   310   448
  177   436   430
  178   231   348
  179   163   313
  180   258   351
  181   266   525
  182   540    55
  183   201   323
  184   564   581
  185   240   352
  186   251   358
  187   390   443
  188   550   754
  189   240   382
  190   215   337
  191   273   314
  192   451   460
  193   670   337
  194   257   467
  195   244   352
  196   162   323
  197   476    24
  198   517   340
  199   130   259
  200   409   304
  201   497   270
  202   179   378
  203   495   150
  204   156   345
  205   442   426
  206   585   717
  207   287   609
  208   749   583
  209   493   356
  210   485    23
  211   456   276
  212   666   719
  213   546   585
  214   392   473
  215   262   482
  216   313   485
  217   106   215
  218   329   373
  219   261   528
  220   318   389
  221   520    28
  222   612   519
  223   244   225
  224   755   641
  225   180   381
  226   295   597
  227   547   130
  228   292   491
  229   629   315
  230   302   443
  231   445   292
  232   313   472
  233   108   270
  234   265   482
  235   572   160
  236   497    59
  237   638   519
  238   400   311
  239   266   310
  240   394   260
  241   201   366
  242   371   388
  243   238   383
  244   432   207
  245   700   662
  246   288   458
  247   398   261
  248   425   385
  249   395   380
  250   541   759
  251   711   714
  252   493    57
  253   324   459
  254   336   474
  255   673   746
  256   319   465
  257   270   405
  258   315   471
  259   406   366
  260   257   297
  261   668   718
  262   155   358
  263   584   364
  264   318   467
  265   546   423
  266   329   547
  267   470   288
  268   310   471
  269   259   474
  270   274   300
  271   619   639
  272   228   300
  273   522   655
  274   608   654

REQUESTS = 750
    1   127     1     6     5     3
    2   241     1     2     7     3
    3   188     1     6     1     2
    4    14     1     3     6     3
    5    96     1     3     4     3
    6   199     1     5     3     1
    7   242     1     5     4     2
    8   123     1     2     7     1
    9    33     1     3     6     3
   10   135     1     2     5     2
   11   146     1     6     1     3
   12   144     1     5     2     3
   13    80     1     6     6     1
   14   219     1     6     6     1
   15    55     1     4     6     3
   16    18     1     3     4     1
   17   235     2     3     6     3
   18    64     2     6     4     2
   19   110     2     6     6     3
   20   117     2     4     2     1
   21   195     2     3     7     2
   22   228     2     7     7     2
   23   217     2     4     1     2
   24    90     2     3     6     3
   25   151     2     4     3     2
   26    19     2     6     3     2
   27    49     2     4     7     1
   28    15     3     4     3     1
   29   167     3     8     7     3
   30   184     3     7     6     1
   31   175     3     7     4     3
   32    86     3     7     6     2
   33   114     3     6     1     2
   34   125     3     4     1     2
   35   124     3     5     3     1
   36   170     3     6     6     1
   37   209     3     5     3     1
   38   166     3     7     6     3
   39   236     3     5     4     2
   40    53     3     6     5     1
   41    78     3     7     2     3
   42   146     3     7     4     3
   43   211     3     5     6     3
   44   144     4     7     1     3
   45   109     4     7     1     3
   46    35     4     9     3     1
   47   202     4     7     4     1
   48    61     4     7     6     3
   49    98     4     9     6     2
   50   151     4     6     2     3
   51   145     4     8     3     2
   52     8     4     6     7     3
   53    94     4     9     6     3
   54    35     4     7     2     3
   55    93     4     6     2     2
   56   195     4     6     7     1
   57    84     4     8     4     3
   58   118     5     6     4     3
   59    24     5     6     7     1
   60   226     5     8     1     2
   61    40     5     8     3     1
   62   167     5     6     1     1
   63   224     5     7     5     1
   64   233     5    10     4     3
   65    45     5     8     6     3
   66    91     5     7     5     2
   67     2     5     8     7     1
   68   148     5     9     3     2
   69    58     5     9     5     3
   70    42     5     9     5     2
   71    27     5     7     2     1
   72   234     6     7     4     3
   73    72     6     8     1     1
   74   169     6     7     1     3
   75    32     6     8     6     2
   76   149     6     7     3     1
   77   151     6     9     3     2
   78    31     6     7     4     2
   79   201     6     7     1     3
   80   144     6     7     1     1
   81    70     6    11     1     2
   82    18     6     9     1     1
   83    46     6     8     5     2
   84   245     6     9     1     1
   85   211     6     9     1     1
   86     2     6     8     2     2
   87   145     7     8     1     2
   88   150     7    12     6     1
   89   147     7     9     5     3
   90   160     7    11     7     2
   91    46     7    10     2     1
   92    99     7     8     5     3
   93   240     7    11     2     1
   94   191     7    11     4     3
   95   122     7     9     4     1
   96     7     7     8     6     1
   97   240     7     9     2     2
   98   129     7    12     1     3
   99    89     7    12     3     1
  100   205     7    12     4     3
  101   247     7    12     1     1
  102   179     8    11     2     1
  103   228     8     9     7     2
  104   147     8     9     6     3
  105   153     8    13     7     3
  106    21     8    13     4     3
  107   110     8     9     5     3
  108    36     8    11     3     1
  109   178     8    10     7     3
  110    83     8    10     7     2
  111   152     8    12     3     2
  112     3     8     9     5     2
  113    69     8    10     3     2
  114    41     8    11     3     1
  115    26     8    13     1     3
  116    26     8    10     7     3
  117   200     8    11     5     1
  118    71     8     9     6     3
  119   212     8     9     5     3
  120   152     8    13     4     1
  121   249     9    12     1     1
  122    28     9    14     1     3
  123    47     9    11     5     3
  124   152     9    10     3     1
  125   122     9    11     2     3
  126   247     9    11     2     1
  127   197     9    13     2     2
  128   198     9    12     6     3
  129   184     9    14     5     1
  130    39     9    14     5     3
  131   101     9    10     7     2
  132   237     9    10     2     3
  133    31     9    10     7     3
  134   134     9    10     7     2
  135   193     9    14     1     2
  136   143     9    12     5     3
  137   207    10    13     1     1
  138    57    10    12     3     1
  139   229    10    11     3     1
  140    56    10    14     1     1
  141   162    10    14     4     3
  142    68    10    13     2     1
  143   112    10    13     4     2
  144    92    10    11     4     1
  145   136    11    14     3     2
  146    36    11    16     7     3
  147   140    11    12     1     1
  148   156    11    13     3     2
  149    73    11    12     3     2
  150   119    11    15     4     2
  151   220    11    12     3     2
  152   102    11    13     6     2
  153   223    11    13     6     3
  154   104    11    12     1     3
  155   163    11    13     6     1
  156   181    11    15     5     2
  157   151    11    12     1     3
  158    40    11    14     5     1
  159    54    11    14     7     1
  160   169    11    13     7     2
  161    65    11    12     5     3
  162   112    11    15     5     1
  163   204    11    14     3     2
  164   208    11    16     4     1
  165    11    12    15     2     3
  166    78    12    16     3     1
  167   225    12    13     3     1
  168   136    12    14     7     1
  169   171    12    16     2     1
  170    11    12    15     7     2
  171   170    12    17     3     1
  172    74    12    14     1     1
  173    11    12    16     3     2
  174    50    12    13     4     2
  175     4    12    14     2     1
  176   160    12    14     4     3
  177   102    12    14     4     1
  178   100    12    17     1     3
  179   127    12    14     4     3
  180   173    12    16     4     1
  181   198    13    16     1     1
  182    62    13    15     2     1
  183    94    13    18     5     2
  184    15    13    18     5     2
  185   215    13    16     5     3
  186    20    13    16     2     2
  187    90    13    18     4     1
  188   238    13    14     4     2
  189    86    13    14     4     3
  190   203    13    18     2     2
  191   126    13    17     4     2
  192    83    13    18     6     3
  193   198    13    18     1     1
  194    18    13    18     7     3
  195   154    13    14     3     2
  196    28    13    17     6     2
  197   219    13    17     6     2
  198   178    13    17     6     2
  199   174    13    14     2     2
  200   159    14    16     1     1
  201    16    14    16     6     2
  202    71    14    17     5     2
  203    68    14    15     2     1
  204   213    14    18     4     3
  205   118    14    18     3     2
  206   212    14    16     4     1
  207    84    14    17     5     1
  208   102    14    15     7     2
  209   184    14    16     1     3
  210   208    14    16     2     2
  211   229    14    16     4     3
  212    54    15    17     2     2
  213   234    15    17     6     2
  214    17    15    19     5     1
  215     6    15    16     4     1
  216   207    15    17     2     2
  217    69    15    16     1     1
  218    76    15    20     2     1
  219   239    15    18     3     2
  220    62    15    19     1     3
  221   111    15    20     3     1
  222   152    15    17     5     3
  223   214    15    20     3     1
  224    74    15    20     1     3
  225   251    15    19     5     1
  226    79    16    18     2     1
  227    70    16    21     2     3
  228   102    16    20     5     3
  229    61    16    18     5     2
  230   152    16    17     6     2
  231   112    16    17     5     2
  232   214    16    18     3     1
  233    30    16    18     7     3
  234    36    16    21     6     3
  235   180    16    19     7     3
  236    26    16    18     5     1
  237   107    16    19     3     1
  238   212    16    18     6     2
  239   189    16    21     5     1
  240   222    16    19     1     3
  241   187    16    21     1     1
  242   148    16    20     1     1
  243   194    16    17     1     3
  244   148    16    19     4     3
  245    84    16    21     2     3
  246    68    16    20     3     2
  247   208    16    17     5     1
  248   217    16    17     1     3
  249   193    16    19     3     1
  250    91    16    19     1     3
  251   214    16    18     6     1
  252   161    17    20     4     3
  253   194    17    22     1     1
  254    84    17    19     1     3
  255    48    17    18     2     3
  256    96    17    18     5     1
  257   135    17    22     3     2
  258    53    17    20     5     3
  259   226    17    18     1     2
  260   171    17    21     2     1
  261   139    17    20     6     3
  262   209    17    20     7     3
  263     8    17    19     2     3
  264   236    17    21     6     3
  265    63    17    19     7     3
  266   226    17    22     3     2
  267    49    17    20     3     1
  268    63    18    21     2     3
  269   127    18    20     4     3
  270   143    18    22     6     2
  271   229    18    21     5     2
  272    47    18    22     1     1
  273    96    18    23     6     2
  274    90    18    19     2     1
  275   190    18    22     7     3
  276   111    18    20     7     2
  277   140    18    21     5     3
  278   168    18    19     6     2
  279   184    18    23     5     3
  280   205    18    22     4     1
  281    20    18    23     5     1
  282    79    18    21     4     2
  283    58    18    23     6     3
  284    37    18    20     1     1
  285    52    18    19     5     3
  286   140    19    21     2     2
  287   111    19    20     5     2
  288    36    19    20     7     2
  289    71    19    21     3     2
  290   200    19    24     4     2
  291   125    19    21     4     3
  292   177    19    24     4     2
  293    84    19    23     1     3
  294   248    19    24     1     3
  295   188    19    20     3     1
  296   106    19    20     1     3
  297   187    19    21     3     1
  298   133    19    21     6     3
  299    53    20    24     5     1
  300   132    20    22     7     1
  301    84    20    24     4     3
  302    28    20    22     1     3
  303   242    20    23     1     2
  304    10    20    22     3     1
  305    12    20    23     5     2
  306    71    20    25     1     1
  307   101    20    22     5     2
  308    93    20    22     1     2
  309   127    20    21     3     1
  310    47    20    21     2     3
  311   212    20    22     4     1
  312    44    20    23     6     3
