DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 11

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1345

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 10
TRUCK_COST = 10000
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 10

MACHINES = 3
    1     3   615
    2     8   825
    3     8   965

LOCATIONS = 330
    1   190   387
    2   320   468
    3   738   594
    4   530   309
    5   267   466
    6   293   466
    7   474   652
    8   313   478
    9   568   512
   10   538   563
   11   579   592
   12   666   434
   13   243   326
   14   373   372
   15   516   746
   16   569   677
   17   636   611
   18   264   376
   19   193   374
   20   319   479
   21   304   477
   22   284   639
   23   586   712
   24   521   357
   25    36   209
   26   243   418
   27    49   211
   28    97   166
   29   539   121
   30   337   559
   31   405   284
   32   590   670
   33   196   193
   34   604   475
   35   638   519
   36   681   703
   37   702   451
   38   348   508
   39   346   352
   40   601   515
   41   281   404
   42   592   422
   43   244   353
   44   287   627
   45   268   453
   46   639   698
   47   316   465
   48   512   493
   49   538   433
   50   192   381
   51   673   745
   52   696   342
   53   298   453
   54   446   281
   55   273   363
   56   100   159
   57   163   316
   58   629   669
   59   239   318
   60   400   328
   61    95   285
   62   386   377
   63   190   212
   64   294   246
   65   414   327
   66   650   453
   67   488   305
   68   256   466
   69   389   403
   70   754   553
   71   286   543
   72   372   424
   73   173   225
   74   601   334
   75   577   366
   76   198   334
   77   296   215
   78   567   692
   79   367   395
   80   557   625
   81   350   403
   82   316   486
   83   513    27
   84   703   591
   85   453   367
   86   338   389
   87   304   490
   88   507    78
   89   284   475
   90   611   392
   91   360   327
   92   400   424
   93   439   312
   94   299   502
   95   452   715
   96   644   345
   97   425   330
   98   277   369
   99   175   361
  100   531   355
  101   515    67
  102   284   546
  103   554   348
  104   458   376
  105   321   241
  106   201   313
  107   527   526
  108   306   348
  109   752   575
  110   338   306
  111   471   368
  112   184   373
  113   524   373
  114   363   419
  115   631   408
  116   509   724
  117   299   467
  118   175   226
  119   476   665
  120   727   576
  121   341   404
  122   470   206
  123   593   651
  124   267   513
  125   556   240
  126   545   263
  127   300   496
  128   675   613
  129   514   687
  130   177   343
  131   517   347
  132   479   376
  133   672   529
  134   377   462
  135   364   549
  136   467   261
  137   268   453
  138   357   553
  139   520   638
  140   246   327
  141   318   582
  142   197   184
  143   312   421
  144   698   357
  145   517   323
  146   541   420
  147   582   712
  148   345   260
  149   549    14
  150   395   386
  151   543   349
  152   188   376
  153   191   383
  154   416   233
  155   477   669
  156   709   445
  157   476   720
  158   255   307
  159   733   691
  160   265   299
  161   508   716
  162   520    61
  163   263   350
  164   458   357
  165   489   125
  166   272   506
  167   186   389
  168   464   197
  169   293   192
  170   286   431
  171   759   714
  172   308   527
  173   326   251
  174   263   306
  175   665   655
  176   216   381
  177   539   755
  178    46   179
  179   611   392
  180   422   218
  181   443   509
  182   185   343
  183   620   533
  184   478   406
  185   242   318
  186   308   455
  187   311   478
  188   487   341
  189   502   475
  190   720   426
  191   663   358
  192   285   388
  193    75   273
  194   254   472
  195   304   553
  196   504   364
  197   636   562
  198   473   464
  199   291   550
  200   420   681
  201   384   449
  202   409   256
  203   445   290
  204   702   668
  205   522   364
  206   210   387
  207   326   466
  208   395   571
  209   312   469
  210   297   503
  211   317   320
  212   348   230
  213   130   259
  214   280   303
  215   699   357
  216   340   393
  217   537   427
  218   653   615
  219   241   410
  220   468   227
  221   433   363
  222   414   282
  223   297   624
  224   655   572
  225   317   472
  226   469   366
  227   561   716
  228   743   733
  229   591   399
  230   288   584
  231   461   326
  232   339   308
  233   469   464
  234   451   243
  235   210   321
  236   703   394
  237   195   380
  238   260   307
  239   497    17
  240   225   359
  241   260   478
  242   180   375
  243   555   477
  244   212   381
  245   211   362
  246   390   400
  247   231   410
  248   517   347
  249   398   425
  250   415   431
  251   673   745
  252   396   381
  253   262   476
  254   379   430
  255   521   316
  256   388   437
  257   184   338
  258   387   390
  259   368   284
  260   264   316
  261   234   357
  262   227   405
  263   738   484
  264   680   468
  265   325   467
  266   536    24
  267   593   427
  268   556   547
  269   415   277
  270   510   303
  271   422   195
  272   508   367
  273   159   311
  274   498   321
  275   700   407
  276   276   561
  277   566   390
  278   568   377
  279   296   467
  280   298   553
  281   311   447
  282   301   449
  283   367   211
  284   661   723
  285   240   403
  286   512   120
  287   260   475
  288   239   327
  289   585   179
  290   386   474
  291   237   340
  292   330   516
  293   361   374
  294   262   513
  295   759   601
  296   530   352
  297   376   428
  298   752   624
  299   376   238
  300   521    53
  301   645   541
  302   566   769
  303   219   433
  304   193   379
  305   432   711
  306   136   260
  307   144   325
  308   420   405
  309   215   323
  310   764   700
  311   356   377
  312   519   316
  313   575   361
  314   408   356
  315   224   417
  316   361   399
  317   647   470
  318   308   459
  319   479    23
  320   513   306
  321   180   322
  322   521    88
  323   309   466
  324   469   476
  325   764   644
  326   494   192
  327   262   498
  328   567   431
  329   369   447
  330   777   632

REQUESTS = 975
    1    20     1     4     2     1
    2   202     1     4     2     1
    3   101     1     2     3     1
    4   184     1     5     3     2
    5   102     1     2     3     1
    6   281     1     2     3     1
    7   211     1     6     2     2
    8   132     1     4     2     1
    9   170     1     5     1     1
   10     3     1     2     2     1
