DATASET = ORTEC Late VeRoLog 2019
NAME = Instance 23

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 1000
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 1000

MACHINES = 5
    1     6   997
    2     7   268
    3     8   698
    4     7   591
    5     8   595

LOCATIONS = 340
    1   704   755
    2   435   172
    3   337   559
    4   292   441
    5   646   366
    6   567   431
    7   260   479
    8    71   160
    9   357   234
   10   309   468
   11   543   164
   12   404   244
   13   531   352
   14   664   715
   15   214   337
   16   657   403
   17   245   352
   18   594   412
   19   333   465
   20   201   356
   21   444   514
   22   265   486
   23   536   425
   24   308   260
   25   420   407
   26   357   361
   27   565   759
   28   669   467
   29   354   368
   30   590   350
   31   291   523
   32   678   380
   33   563   686
   34   679   595
   35   589   403
   36   305   500
   37   548   474
   38   472   300
   39   350   227
   40   275   221
   41   309   425
   42   259   486
   43   551   397
   44   236   339
   45   477    20
   46   386   348
   47   248   331
   48   512   120
   49   496   451
   50   374   442
   51   402   480
   52   276   609
   53   275   515
   54   757   431
   55   258   497
   56   480   629
   57   266   301
   58   236   427
   59   448   464
   60   252   340
   61   328   406
   62   541   706
   63   303   431
   64   257   467
   65   551   419
   66   668   357
   67   257   232
   68   681   468
   69   204   343
   70   607   652
   71   260   482
   72   534   421
   73   313   475
   74   229   228
   75   409   376
   76   692   739
   77   554   731
   78   533   421
   79   165   369
   80   231   407
   81   228   320
   82   504   713
   83   167   359
   84   225   227
   85   416   438
   86   190   374
   87   347   453
   88   204   360
   89   444   514
   90   323   489
   91   235   349
   92   515   341
   93   575   687
   94   189   382
   95   209   338
   96   431   191
   97   476   354
   98   534   344
   99   465   377
  100   516   306
  101   313   251
  102   534   258
  103   430   512
  104   308   251
  105   533   649
  106   714   355
  107   577   696
  108   590   413
  109   539   412
  110   201   311
  111   328   458
  112   371   273
  113   121   208
  114   373   443
  115   195   389
  116   476    22
  117   501   149
  118   565   431
  119   185   380
  120   290   549
  121   295   479
  122   438   198
  123   504   267
  124   430   708
  125   161   316
  126   266   470
  127   495    34
  128   306   349
  129   366   463
  130   311   475
  131   562   711
  132   469   476
  133   356   234
  134   689   474
  135   239   242
  136   351   582
  137   447   293
  138   203   368
  139   359   586
  140   314   468
  141   179   322
  142   377   432
  143   278   306
  144   309   466
  145   545   419
  146   505   709
  147   622   329
  148   297   467
  149   376   182
  150   326   229
  151   357   242
  152   374   366
  153   477   372
  154   330   512
  155   573   596
  156   216   324
  157   144   324
  158   664   421
  159   302   468
  160   371   432
  161   606   530
  162   530   641
  163   337   240
  164   375   446
  165   577   596
  166   323   470
  167   295   267
  168   203   320
  169   592   407
  170   400   264
  171   726   419
  172   616   712
  173   446   251
  174   144   230
  175   196   313
  176    85   136
  177   281   368
  178   143   295
  179   597   326
  180   645   328
  181   487   183
  182   317   471
  183   311   472
  184   434   195
  185   525   628
  186   487   327
  187   729   704
  188   587   441
  189   499    17
  190   765   590
  191   287   439
  192   281   526
  193   219   347
  194   703   411
  195   231   324
  196   542   346
  197   517   279
  198   373   367
  199   328   228
  200   285   264
  201   312   484
  202   442   374
  203   248   348
  204   621   513
  205   537    49
  206   487   126
  207   592   407
  208   302   431
  209   271   310
  210   419   408
  211   515   610
  212   603   740
  213   516   493
  214   281   357
  215   565   743
  216   624   702
  217   545   714
  218   450   384
  219   260   339
  220   523   313
  221   615   741
  222   173   369
  223   313   485
  224   485    23
  225   354   252
  226   232   334
  227   567   339
  228   541    50
  229   539   352
  230    38   199
  231   385   465
  232   375   368
  233   322   240
  234   271   312
  235   239   429
  236   605   347
  237   293   631
  238   277   367
  239   269   507
  240   557   154
  241   549   348
  242   248   343
  243   258   421
  244   323   477
  245   530   358
  246   334   455
  247   353   268
  248   224   334
  249   327   470
  250   611   379
  251   429   412
  252   366   427
  253   455   368
  254   270   405
  255   284   549
  256   342   373
  257   319   463
  258   375   429
  259   571   689
  260   184   382
  261   113   259
  262   659   490
  263   214   343
  264   591   438
  265   531   527
  266   336   389
  267   559   174
  268   264   472
  269   489   645
  270   284   576
  271   469   464
  272   213   377
  273   371   432
  274   390   400
  275   517   347
  276   396   416
  277   279   370
  278   313   424
  279   493   326
  280   506   475
  281   306   490
  282   292   471
  283   329   455
  284   221   344
  285   297   246
  286   508   648
  287   493   326
  288   547   754
  289   264   374
  290   356   561
  291    38   201
  292   279   415
  293   314   499
  294   355   373
  295   685   453
  296   295   525
  297   330   315
  298   227   390
  299   206   318
  300   179   376
  301   300   340
  302   619   645
  303   146   320
  304   381   441
  305   612   519
  306   687   778
  307   456   309
  308   591   417
  309   184   321
  310   261   466
  311   194   355
  312   368   391
  313     1   179
  314   550    35
  315   662   657
  316   155   355
  317   397   320
  318   242   332
  319   354   222
  320   384   272
  321   397   398
  322   763   433
  323   273   451
  324   233   318
  325   400   424
  326   684   391
  327   246   289
  328   257   441
  329    12   223
  330   370   447
  331   539    38
  332   393   330
  333   505    13
  334   406   279
  335   490   292
  336   691   686
  337   436   628
  338   346   366
  339   522   101
  340   500   269

REQUESTS = 975
    1   204     1     4     2     2
    2    84     1     5     2     2
    3   194     1     5     1     1
    4    91     1     2     5     2
    5    52     1     6     3     2
    6    92     1     2     5     1
    7   106     1     5     3     2
    8    70     1     2     1     2
    9   156     1     6     5     2
   10   219     1     3     5     1
   11   228     1     2     3     1
   12   320     1     5     1     1
   13   205     1     6     4     1
   14   189     1     3     5     2
   15   248     1     5     2     1
   16   293     1     5     4     1
   17   145     1     2     4     2
   18    82     1     6     2     2
   19   220     1     6     4     2
   20    89     1     2     3     1
   21   289     1     5     2     2
   22   153     1     4     1     3
   23    94     1     2     2     1
   24   105     1     5     1     1
   25   202     1     3     1     1
   26   144     1     6     5     1
   27   164     1     6     4     2
   28    26     1     2     1     3
   29    16     1     2     2     1
   30   319     1     4     5     1
   31   208     1     5     3     1
   32   217     1     2     3     2
   33   131     1     2     4     2
   34    44     1     3     1     1
   35    99     1     2     1     2
   36   224     1     2     3     1
   37    24     1     4     5     2
   38    87     1     6     2     1
   39   231     2     5     1     1
   40   325     2     5     1     1
   41   120     2     4     5     2
   42    90     2     7     3     2
   43   113     2     6     4     2
   44   189     2     7     2     2
   45   125     2     6     1     3
   46   270     2     7     1     1
   47   169     2     4     4     2
   48    79     2     4     1     3
   49   256     2     5     1     2
   50    26     2     3     1     3
   51    46     2     6     3     2
   52   150     2     6     2     1
   53   268     2     5     2     2
   54   166     2     3     3     1
   55   161     2     7     5     2
   56   306     2     5     1     3
   57   287     2     6     5     2
   58   243     2     5     4     1
   59   210     2     6     3     2
   60   220     2     5     2     1
   61   186     2     3     1     1
   62   195     2     7     1     3
   63    37     2     6     2     2
   64   281     2     6     2     1
   65   284     2     3     2     1
   66   198     2     6     3     2
   67   202     2     3     4     1
   68   234     2     7     1     2
   69    20     2     7     3     2
   70   156     2     6     2     2
   71    48     2     3     1     2
   72    52     2     6     4     2
   73   212     3     8     1     2
   74   159     3     8     5     1
   75    73     3     5     4     1
   76   231     3     5     2     1
   77   116     3     6     4     1
   78    97     3     6     1     1
   79    91     3     7     3     1
   80   161     3     7     2     1
   81   148     3     7     5     2
   82    84     3     7     3     1
   83   208     3     6     5     1
   84    28     3     7     4     2
   85    50     3     6     4     2
   86   232     3     5     2     1
   87    40     3     7     2     2
   88   281     3     6     3     1
   89   124     3     7     2     2
   90   173     3     7     5     2
   91    27     3     6     3     2
   92    93     3     5     2     1
   93   129     3     7     4     1
   94   222     3     6     1     1
   95    24     3     6     4     1
   96    59     3     5     1     2
   97   323     3     5     1     2
   98   197     3     5     4     1
   99    55     3     7     3     2
  100   289     3     4     5     2
  101   110     3     7     3     2
  102   150     3     8     2     1
  103   160     3     8     4     1
  104   243     3     8     3     2
  105   244     3     6     1     3
  106    17     3     5     1     2
  107    67     3     5     3     2
  108   130     3     8     2     2
  109   137     3     6     4     2
  110   191     3     8     3     2
  111   309     3     7     5     1
  112   251     3     5     1     3
  113   186     3     4     5     2
  114    29     4     9     2     1
  115   255     4     7     4     2
  116   102     4     5     2     2
  117   319     4     6     5     1
  118   179     4     7     3     1
  119   173     4     8     4     2
  120   148     4     7     1     2
  121   316     4     7     5     2
  122    81     4     7     1     3
  123    21     4     5     1     2
  124    57     4     8     1     1
  125   272     4     7     5     2
  126   142     4     7     4     1
  127    55     4     9     4     2
  128    33     4     8     3     1
  129   222     4     8     2     2
  130    43     4     8     4     1
  131    22     4     5     1     2
  132   124     4     7     1     3
  133   167     4     5     2     1
  134   277     4     5     1     2
  135   223     4     5     1     1
  136    89     4     9     4     1
  137   199     4     7     2     1
  138   280     4     7     4     1
  139   314     4     7     5     1
  140   302     4     5     3     1
  141   142     4     8     4     1
  142   314     4     8     1     2
  143    18     4     9     1     2
  144   251     4     9     5     1
  145    68     4     9     3     1
  146   218     4     7     1     1
  147   154     5     6     3     1
  148   308     5     7     4     2
  149    27     5     9     5     2
  150   268     5     7     3     2
  151   143     5     9     3     1
  152   181     5    10     1     2
  153   217     5     8     2     2
  154    14     5    10     5     2
  155   325     5     7     5     2
  156   127     5     8     2     2
  157   168     5     6     3     1
  158   285     5     8     5     1
  159   319     5     8     3     2
  160   158     5     9     1     2
  161   322     5    10     4     1
  162   231     5     8     1     3
  163   116     5     8     5     2
  164   291     5     7     4     2
  165   174     5     8     2     2
  166   266     5     6     1     1
  167    47     5     7     1     3
  168   218     5     7     2     2
  169    38     5     6     3     2
  170   214     5    10     1     2
  171   206     5     6     4     1
  172   326     5     8     2     1
  173    92     5     8     1     2
  174   267     5    10     4     2
  175   195     5    10     3     1
  176   291     5     6     4     2
  177   229     5     8     1     3
  178    63     5     7     2     1
  179   308     5    10     3     2
  180   188     5     9     3     2
  181   314     5     8     2     1
  182   199     5     6     2     1
  183   188     5     7     1     2
  184   136     5     6     5     2
  185   287     5     6     4     2
  186   150     5     9     3     1
  187    76     5     9     3     1
  188    15     5    10     3     2
  189   238     5     9     2     1
  190     5     5     9     5     1
  191    36     5    10     2     2
  192    89     5     9     4     1
  193   264     6    11     5     1
  194    80     6    11     5     2
  195    66     6    11     1     3
  196   184     6     8     2     2
  197    62     6    11     1     3
  198   219     6    10     4     2
  199   258     6     7     4     2
  200   133     6    11     3     2
  201    64     6     8     2     2
  202   257     6    10     4     1
  203   135     6     8     2     2
  204   234     6     8     4     2
  205    23     6    10     4     1
  206   277     6     9     2     2
  207   123     6    11     5     2
  208   122     6    10     5     1
  209   189     6    10     2     2
  210   212     6    10     3     2
  211   120     6    11     2     2
  212   132     6     8     5     2
  213    16     6     9     1     1
  214   166     6     9     5     2
  215    52     6     9     4     2
  216   277     6     7     2     2
  217   118     6     8     5     2
  218   324     6    10     3     2
  219   290     6     8     4     2
  220   108     6     8     2     2
  221   158     6    11     1     3
  222   253     6    10     5     1
  223    41     6     8     5     1
  224   281     6    10     2     2
  225   126     6    11     2     2
  226     4     6     7     5     2
  227   242     6     9     3     1
  228   276     6    11     3     2
  229   243     6     7     1     3
  230   194     6    11     5     2
  231   193     6    11     2     2
  232   134     6     8     2     1
  233   271     7    11     4     1
  234   321     7     8     3     2
  235   227     7     9     3     1
  236   262     7    10     5     2
  237   234     7    11     2     2
  238    29     7     8     1     2
  239   112     7     8     3     2
  240     9     7    12     1     2
  241   123     7     8     5     2
  242    19     7    12     2     2
  243   302     7    11     2     1
  244   147     7     8     4     2
  245   231     7    11     3     2
  246    85     7     8     4     2
  247    36     7    10     4     2
  248   237     7    11     1     3
  249   179     7    10     3     1
  250   136     7    11     5     1
  251   105     7     9     1     3
  252   270     7    11     5     2
  253   301     7    10     4     1
  254   212     7    10     1     1
  255    25     7    11     3     1
  256   136     7    11     2     1
  257   165     7    12     3     1
  258    86     7    10     3     1
  259   108     7     8     4     1
  260   117     7     8     5     1
  261   191     7    10     3     1
  262   268     7     9     3     1
  263    62     7    10     2     1
  264   147     7    11     1     2
  265   154     8    11     2     1
  266    28     8    11     4     2
  267    65     8    11     3     1
  268   269     8    13     1     3
  269   206     8     9     1     3
  270   123     8    10     4     1
  271   213     8    12     2     1
  272    73     8     9     1     1
  273    54     8    13     4     2
  274    70     8    11     2     2
  275   306     8    10     3     2
  276   122     8    11     5     1
  277   151     8    10     1     1
  278   186     8    13     2     2
